

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,4:08:16 PM,3684.84,3580.55,0.03,0.03,0.06,0.04,
5/31/2018,4:08:17 PM,3803.10,3848.90,0.03,0.02,0.07,0.04,
5/31/2018,4:08:18 PM,4156.94,4178.67,0.02,0.04,0.03,0.05,
5/31/2018,4:08:19 PM,3333.45,3520.65,0.06,0.02,0.18,0.02,
5/31/2018,4:08:20 PM,3664.84,3608.19,0.04,0.02,0.18,0.03,
5/31/2018,4:08:21 PM,3695.63,3671.91,0.03,0.03,0.07,0.03,
5/31/2018,4:08:22 PM,3232.09,3865.27,0.10,0.02,0.05,0.05,
5/31/2018,4:08:23 PM,3145.71,4040.50,0.03,0.04,0.04,0.05,
5/31/2018,4:08:24 PM,3550.37,3486.17,0.05,0.03,0.09,0.02,
5/31/2018,4:08:25 PM,3446.45,3756.74,0.04,0.02,0.05,0.03,
5/31/2018,4:08:26 PM,3485.46,3675.46,0.06,0.03,0.06,0.03,
5/31/2018,4:08:27 PM,3615.53,3489.02,0.03,0.02,0.19,0.03,
5/31/2018,4:08:28 PM,3905.48,4099.56,0.02,0.04,0.05,0.05,
5/31/2018,4:08:29 PM,3415.71,3597.68,0.04,0.02,0.15,0.03,
5/31/2018,4:08:30 PM,3429.12,3631.56,0.04,0.03,0.12,0.03,
5/31/2018,4:08:31 PM,3552.38,3520.97,0.05,0.02,0.14,0.03,
5/31/2018,4:08:32 PM,3631.51,4187.53,0.03,0.04,0.04,0.05,
5/31/2018,4:08:33 PM,3676.96,3751.94,0.05,0.02,0.12,0.03,
5/31/2018,4:08:34 PM,3792.71,3806.67,0.02,0.02,0.06,0.03,
5/31/2018,4:08:35 PM,3595.83,3615.67,0.05,0.03,0.15,0.03,
5/31/2018,4:08:36 PM,3438.51,3774.10,0.04,0.02,0.05,0.04,
5/31/2018,4:08:37 PM,3827.53,3860.42,0.03,0.03,0.04,0.05,
5/31/2018,4:08:38 PM,3445.10,3913.72,0.05,0.02,0.04,0.04,
5/31/2018,4:08:39 PM,3448.37,4231.60,0.06,0.02,0.03,0.05,
5/31/2018,4:08:40 PM,3178.46,3632.87,0.07,0.02,0.13,0.03,
5/31/2018,4:08:41 PM,3219.20,3730.88,0.05,0.02,0.07,0.04,
5/31/2018,4:08:42 PM,3873.96,4101.22,0.03,0.03,0.04,0.05,
5/31/2018,4:08:43 PM,3515.18,3803.16,0.04,0.02,0.07,0.04,
5/31/2018,4:08:44 PM,3509.35,4254.71,0.05,0.02,0.03,0.06,
5/31/2018,4:08:45 PM,3255.36,3820.47,0.05,0.02,0.07,0.04,
5/31/2018,4:08:46 PM,3405.77,3635.75,0.08,0.02,0.05,0.04,
5/31/2018,4:08:47 PM,3137.69,3979.58,0.14,0.02,0.05,0.05,
5/31/2018,4:08:48 PM,3403.91,3890.07,0.08,0.02,0.04,0.04,
5/31/2018,4:08:49 PM,3373.67,3907.83,0.06,0.03,0.05,0.05,
5/31/2018,4:08:50 PM,3554.52,3574.61,0.04,0.02,0.31,0.03,
5/31/2018,4:08:51 PM,3353.22,3706.11,0.06,0.03,0.12,0.03,
5/31/2018,4:08:52 PM,3887.43,3569.23,0.03,0.03,0.08,0.03,
5/31/2018,4:08:53 PM,3658.99,3765.61,0.03,0.02,0.06,0.04,
5/31/2018,4:08:54 PM,3297.89,3784.18,0.06,0.02,0.10,0.03,
5/31/2018,4:08:55 PM,3705.02,3636.33,0.03,0.04,0.08,0.03,
5/31/2018,4:08:56 PM,3792.53,3898.60,0.03,0.02,0.06,0.04,
5/31/2018,4:08:57 PM,3765.18,3658.59,0.02,0.03,0.15,0.03,
5/31/2018,4:08:58 PM,3400.03,3889.77,0.09,0.02,0.07,0.04,
5/31/2018,4:08:59 PM,3654.55,3895.76,0.04,0.04,0.05,0.05,
5/31/2018,4:09:00 PM,3541.01,3528.82,0.05,0.03,0.12,0.03,
5/31/2018,4:09:01 PM,3814.58,4060.75,0.02,0.03,0.04,0.05,
5/31/2018,4:09:02 PM,3406.54,3785.53,0.06,0.02,0.07,0.03,
5/31/2018,4:09:03 PM,3617.08,3623.37,0.04,0.03,0.50,0.03,
5/31/2018,4:09:04 PM,3603.98,3537.01,0.05,0.03,0.20,0.03,
5/31/2018,4:09:05 PM,3435.74,3718.96,0.07,0.02,0.07,0.04,
5/31/2018,4:09:06 PM,3509.33,3633.70,0.07,0.03,0.10,0.03,
5/31/2018,4:09:07 PM,3388.59,4153.98,0.06,0.02,0.03,0.05,
5/31/2018,4:09:08 PM,3469.26,3712.29,0.04,0.02,0.07,0.03,
5/31/2018,4:09:09 PM,4131.52,3599.78,0.02,0.04,0.13,0.04,
5/31/2018,4:09:10 PM,3801.31,3971.36,0.02,0.03,0.04,0.06,
5/31/2018,4:09:11 PM,3519.36,3755.11,0.03,0.02,0.07,0.04,
5/31/2018,4:09:12 PM,3339.96,3898.18,0.05,0.03,0.05,0.05,
5/31/2018,4:09:13 PM,3746.42,3797.60,0.03,0.03,0.12,0.03,
5/31/2018,4:09:14 PM,3174.14,3808.15,0.05,0.03,0.09,0.04,
