

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:42:29 PM,4135.96,4867.58,4970.91,5009.93,0.01,0.03,0.01,0.04,
5/31/2018,6:42:30 PM,4091.41,4870.47,4991.20,5020.34,0.01,0.03,0.01,0.04,
5/31/2018,6:42:31 PM,4126.20,4873.43,4983.34,5014.66,0.01,0.04,0.02,0.04,
5/31/2018,6:42:32 PM,4132.87,4908.84,4972.15,5016.54,0.01,0.03,0.01,0.04,
5/31/2018,6:42:33 PM,4091.49,4895.49,4981.45,5016.56,0.01,0.04,0.01,0.04,
5/31/2018,6:42:34 PM,4138.77,4921.99,4979.33,5005.80,0.01,0.04,0.01,0.04,
5/31/2018,6:42:35 PM,4026.85,4852.02,4981.42,5014.14,0.01,0.04,0.01,0.04,
5/31/2018,6:42:36 PM,4040.31,4842.74,4982.61,5009.10,0.01,0.03,0.01,0.04,
5/31/2018,6:42:37 PM,4201.01,4810.00,4974.21,5015.32,0.01,0.03,0.01,0.04,
5/31/2018,6:42:38 PM,4150.11,4914.08,4969.72,4993.46,0.01,0.04,0.01,0.04,
5/31/2018,6:42:39 PM,4062.56,4852.16,4971.75,5017.63,0.01,0.04,0.01,0.04,
5/31/2018,6:42:41 PM,4058.84,4862.17,4966.15,5020.86,0.01,0.03,0.02,0.04,
5/31/2018,6:42:42 PM,4103.35,4912.78,4963.16,5014.57,0.01,0.04,0.02,0.04,
5/31/2018,6:42:43 PM,4057.10,4850.13,4962.18,5017.47,0.01,0.04,0.01,0.04,
5/31/2018,6:42:44 PM,4174.14,4891.66,4958.90,5009.74,0.01,0.03,0.01,0.04,
5/31/2018,6:42:45 PM,4072.26,4919.52,4975.46,4995.44,0.01,0.04,0.01,0.04,
5/31/2018,6:42:46 PM,4191.62,4888.51,4962.62,4990.13,0.01,0.04,0.02,0.04,
5/31/2018,6:42:47 PM,4120.88,4814.30,4969.13,5008.03,0.01,0.04,0.01,0.04,
5/31/2018,6:42:48 PM,4054.20,4891.52,4974.62,5000.73,0.01,0.04,0.02,0.04,
5/31/2018,6:42:50 PM,4194.96,4893.41,4965.34,5001.14,0.01,0.04,0.01,0.04,
5/31/2018,6:42:51 PM,4086.58,4861.17,4965.14,5009.57,0.01,0.04,0.01,0.04,
5/31/2018,6:42:52 PM,4035.91,4842.90,4968.74,5007.96,0.01,0.04,0.01,0.04,
5/31/2018,6:42:53 PM,4112.22,4893.99,4966.88,5005.35,0.01,0.03,0.01,0.04,
5/31/2018,6:42:54 PM,4128.84,4940.06,4964.44,5001.91,0.01,0.04,0.01,0.04,
5/31/2018,6:42:55 PM,4186.75,4980.56,4981.41,4983.28,0.01,0.04,0.01,0.04,
5/31/2018,6:42:56 PM,4081.69,4959.13,4966.85,4997.37,0.01,0.03,0.02,0.04,
5/31/2018,6:42:58 PM,4115.12,4859.33,4976.26,5004.53,0.01,0.04,0.01,0.04,
5/31/2018,6:42:59 PM,4144.03,4844.81,4964.51,5018.18,0.01,0.04,0.01,0.04,
5/31/2018,6:43:00 PM,4150.38,4894.00,4977.72,5001.98,0.01,0.03,0.02,0.04,
5/31/2018,6:43:01 PM,4086.46,4718.67,4973.27,5014.93,0.01,0.03,0.01,0.04,
5/31/2018,6:43:02 PM,3830.29,4481.47,4978.94,4987.04,0.01,0.04,0.04,0.03,
5/31/2018,6:43:03 PM,3664.84,4171.82,4982.51,5001.26,0.01,0.04,0.04,0.03,
5/31/2018,6:43:05 PM,3656.41,4098.55,4983.57,4996.44,0.00,0.04,0.02,0.02,
5/31/2018,6:43:06 PM,3530.99,3916.86,4981.88,5015.36,0.01,0.04,0.04,0.02,
5/31/2018,6:43:07 PM,3475.30,3901.05,4975.71,4984.77,0.01,0.03,0.03,0.02,
5/31/2018,6:43:08 PM,3387.31,3805.36,4988.45,4973.77,0.01,0.03,0.02,0.02,
5/31/2018,6:43:09 PM,3499.17,3721.70,4977.00,4977.06,0.01,0.03,0.05,0.02,
5/31/2018,6:43:10 PM,3466.46,3925.08,4979.01,4960.11,0.01,0.04,0.01,0.02,
5/31/2018,6:43:11 PM,3430.42,3877.17,4982.26,4974.91,0.01,0.03,0.01,0.02,
5/31/2018,6:43:12 PM,3415.88,3564.36,4993.25,4977.56,0.01,0.04,0.04,0.02,
5/31/2018,6:43:13 PM,3269.41,3658.59,4984.31,4966.75,0.01,0.03,0.02,0.01,
5/31/2018,6:43:14 PM,3405.20,3643.54,4983.59,4982.66,0.01,0.03,0.04,0.02,
5/31/2018,6:43:16 PM,3361.51,3704.96,4975.27,4986.50,0.01,0.03,0.02,0.02,
5/31/2018,6:43:17 PM,3283.06,3575.13,4986.12,4992.99,0.01,0.03,0.04,0.02,
5/31/2018,6:43:18 PM,3296.89,3621.01,4986.79,4985.61,0.01,0.03,0.02,0.02,
5/31/2018,6:43:19 PM,3343.60,3679.17,4985.14,4978.66,0.01,0.03,0.01,0.02,
5/31/2018,6:43:20 PM,3291.77,3637.34,4984.15,4978.48,0.01,0.02,0.01,0.02,
5/31/2018,6:43:21 PM,3225.57,3624.96,4979.69,4975.56,0.01,0.02,0.02,0.02,
5/31/2018,6:43:22 PM,3316.71,3684.41,4994.17,4960.65,0.01,0.03,0.01,0.02,
5/31/2018,6:43:24 PM,3349.34,3605.80,5003.35,4977.15,0.01,0.03,0.02,0.02,
5/31/2018,6:43:25 PM,3323.82,3624.39,4994.34,4969.42,0.01,0.03,0.01,0.02,
5/31/2018,6:43:26 PM,3324.50,3605.04,5005.18,4967.73,0.01,0.03,0.01,0.02,
5/31/2018,6:43:27 PM,3307.65,3509.38,4996.82,4982.43,0.01,0.02,0.02,0.02,
5/31/2018,6:43:28 PM,3333.41,3647.98,5002.79,4979.75,0.01,0.02,0.01,0.02,
5/31/2018,6:43:29 PM,3222.76,3565.25,4990.09,4976.58,0.01,0.02,0.02,0.02,
5/31/2018,6:43:30 PM,3296.68,3496.93,4996.62,4984.93,0.01,0.02,0.03,0.02,
5/31/2018,6:43:32 PM,3296.69,3617.39,4999.44,4988.20,0.01,0.02,0.01,0.02,
5/31/2018,6:43:33 PM,3306.21,3581.98,4988.96,4990.69,0.01,0.03,0.02,0.02,
5/31/2018,6:43:34 PM,3305.12,3608.71,4989.67,4991.31,0.01,0.03,0.01,0.02,
5/31/2018,6:43:35 PM,3314.83,3560.85,4990.70,4991.38,0.01,0.02,0.01,0.01,
5/31/2018,6:43:36 PM,3292.64,3541.15,4988.43,4980.02,0.01,0.02,0.02,0.02,
5/31/2018,6:43:37 PM,3286.95,3575.63,4996.52,4961.24,0.01,0.02,0.01,0.02,
5/31/2018,6:43:38 PM,3221.16,3574.54,5006.37,4965.31,0.01,0.03,0.01,0.02,
5/31/2018,6:43:39 PM,3326.36,3538.30,5003.89,4986.83,0.01,0.03,0.02,0.02,
5/31/2018,6:43:41 PM,3245.96,3459.71,5012.19,4989.92,0.01,0.02,0.02,0.02,
5/31/2018,6:43:42 PM,3323.68,3536.32,4994.39,4983.50,0.01,0.03,0.02,0.02,
5/31/2018,6:43:43 PM,3292.05,3503.66,4989.21,4980.14,0.01,0.02,0.03,0.01,
5/31/2018,6:43:44 PM,3286.06,3514.77,5006.43,4976.04,0.01,0.03,0.02,0.01,
5/31/2018,6:43:45 PM,3288.25,3580.70,4994.07,4982.91,0.01,0.02,0.01,0.02,
5/31/2018,6:43:47 PM,3311.60,3501.43,4994.15,4974.23,0.01,0.02,0.02,0.02,
5/31/2018,6:43:48 PM,3281.35,3548.81,5006.22,4984.44,0.01,0.02,0.01,0.02,
5/31/2018,6:43:49 PM,3330.71,3635.33,4977.55,4979.39,0.01,0.02,0.01,0.02,
5/31/2018,6:43:50 PM,3209.55,3416.42,4994.42,4989.95,0.01,0.02,0.08,0.01,
5/31/2018,6:43:51 PM,3205.71,3404.55,5007.60,4999.44,0.01,0.02,0.11,0.01,
5/31/2018,6:43:52 PM,3318.93,3611.85,4999.50,4994.86,0.01,0.02,0.01,0.02,
5/31/2018,6:43:53 PM,3261.02,3591.44,4997.09,4990.89,0.01,0.02,0.01,0.02,
5/31/2018,6:43:54 PM,3274.69,3557.73,5011.43,4986.04,0.01,0.02,0.01,0.02,
5/31/2018,6:43:55 PM,3217.85,3507.71,4995.62,4966.48,0.01,0.02,0.02,0.02,
5/31/2018,6:43:57 PM,3222.35,3535.99,4994.40,4979.07,0.01,0.02,0.01,0.02,
5/31/2018,6:43:58 PM,3263.13,3505.08,5008.40,4964.82,0.01,0.02,0.02,0.02,
5/31/2018,6:43:59 PM,3211.61,3508.75,5010.54,4978.59,0.01,0.02,0.02,0.01,
5/31/2018,6:44:00 PM,3209.19,3420.01,5003.92,4972.10,0.01,0.02,0.05,0.01,
5/31/2018,6:44:01 PM,3254.27,3522.76,5015.57,4976.87,0.01,0.02,0.02,0.01,
5/31/2018,6:44:02 PM,3229.11,3447.12,5001.13,4979.39,0.01,0.02,0.04,0.02,
5/31/2018,6:44:03 PM,3247.87,3498.08,5002.92,4977.37,0.01,0.02,0.02,0.01,
5/31/2018,6:44:04 PM,3244.57,3442.47,4999.02,4984.13,0.01,0.03,0.04,0.02,
