

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:14:00 PM,3038.79,3574.95,4959.91,5074.99,0.01,0.02,0.01,0.02,
5/31/2018,6:14:01 PM,3194.97,3451.54,4960.85,5066.54,0.01,0.02,0.02,0.02,
5/31/2018,6:14:02 PM,3295.44,3434.40,4958.75,5086.45,0.01,0.02,0.02,0.02,
5/31/2018,6:14:03 PM,3178.34,3425.14,4959.62,5077.24,0.01,0.02,0.02,0.01,
5/31/2018,6:14:04 PM,3151.08,3508.50,4963.93,5066.66,0.01,0.02,0.01,0.02,
5/31/2018,6:14:05 PM,3287.28,3435.24,4960.85,5054.64,0.01,0.02,0.03,0.02,
5/31/2018,6:14:06 PM,3120.91,3436.17,4982.97,5069.13,0.01,0.02,0.03,0.02,
5/31/2018,6:14:07 PM,3230.90,3492.38,4971.27,5085.07,0.01,0.02,0.01,0.02,
5/31/2018,6:14:08 PM,3272.88,3488.54,4963.06,5083.31,0.01,0.02,0.02,0.02,
5/31/2018,6:14:09 PM,3200.21,3615.03,4984.08,5081.21,0.01,0.03,0.04,0.02,
5/31/2018,6:14:10 PM,3393.80,3755.42,4974.52,5071.39,0.01,0.03,0.02,0.02,
5/31/2018,6:14:12 PM,3355.64,3887.10,4977.52,5057.19,0.01,0.03,0.02,0.02,
5/31/2018,6:14:13 PM,3421.77,3878.32,4980.59,5073.28,0.01,0.03,0.02,0.02,
5/31/2018,6:14:14 PM,3486.34,3936.69,4980.62,5067.80,0.01,0.03,0.03,0.02,
5/31/2018,6:14:15 PM,3530.19,3998.03,4991.58,5069.18,0.01,0.04,0.04,0.02,
5/31/2018,6:14:16 PM,3574.84,4130.71,4983.03,5062.59,0.01,0.03,0.03,0.02,
5/31/2018,6:14:17 PM,3564.79,4197.66,4987.40,5048.39,0.01,0.04,0.03,0.03,
5/31/2018,6:14:18 PM,3609.06,4264.48,4987.33,5051.22,0.01,0.04,0.03,0.02,
5/31/2018,6:14:20 PM,3740.00,4220.87,4981.39,5061.48,0.01,0.05,0.03,0.03,
5/31/2018,6:14:21 PM,3733.97,4478.40,4980.53,5030.48,0.01,0.04,0.03,0.03,
5/31/2018,6:14:22 PM,3857.08,4449.15,4985.27,5044.20,0.00,0.05,0.03,0.03,
5/31/2018,6:14:23 PM,3758.05,4509.84,4983.13,5035.85,0.01,0.04,0.01,0.03,
5/31/2018,6:14:24 PM,3968.98,4557.49,4979.38,5034.77,0.00,0.04,0.02,0.03,
5/31/2018,6:14:25 PM,3851.53,4523.25,4984.80,5034.64,0.01,0.04,0.02,0.03,
5/31/2018,6:14:26 PM,3835.49,4600.71,4986.45,5025.75,0.01,0.04,0.02,0.03,
5/31/2018,6:14:27 PM,3840.36,4577.07,4984.20,5054.73,0.01,0.04,0.01,0.03,
