

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,3:13:15 PM,2974.26,3498.61,0.07,0.02,0.09,0.02,
5/31/2018,3:13:16 PM,3350.79,3322.85,0.04,0.02,0.13,0.02,
5/31/2018,3:13:17 PM,3232.08,3364.42,0.06,0.03,0.17,0.02,
5/31/2018,3:13:18 PM,3220.86,3299.95,0.07,0.02,0.10,0.02,
5/31/2018,3:13:19 PM,3552.66,3581.38,0.04,0.03,0.04,0.02,
5/31/2018,3:13:20 PM,3420.72,3877.52,0.03,0.03,0.03,0.04,
5/31/2018,3:13:21 PM,3389.99,3328.38,0.05,0.04,0.13,0.01,
5/31/2018,3:13:22 PM,3233.87,3467.16,0.10,0.03,0.06,0.02,
5/31/2018,3:13:23 PM,3309.65,3594.31,0.04,0.03,0.08,0.02,
5/31/2018,3:13:24 PM,3447.29,3724.55,0.03,0.03,0.04,0.03,
5/31/2018,3:13:25 PM,3541.59,3687.45,0.03,0.03,0.05,0.03,
5/31/2018,3:13:26 PM,3330.96,3370.99,0.06,0.02,0.10,0.02,
5/31/2018,3:13:27 PM,3399.75,3275.33,0.03,0.03,0.10,0.01,
5/31/2018,3:13:28 PM,3107.71,3350.95,0.07,0.02,0.20,0.02,
5/31/2018,3:13:29 PM,3034.17,3497.69,0.06,0.03,0.21,0.02,
5/31/2018,3:13:30 PM,3365.05,3500.88,0.06,0.03,0.16,0.02,
5/31/2018,3:13:31 PM,3237.89,3376.86,0.06,0.02,0.08,0.01,
5/31/2018,3:13:32 PM,3134.33,3762.90,0.08,0.02,0.05,0.03,
5/31/2018,3:13:33 PM,3212.07,3407.69,0.06,0.03,0.09,0.02,
5/31/2018,3:13:34 PM,3316.26,3213.28,0.03,0.03,0.13,0.02,
5/31/2018,3:13:35 PM,3003.02,3622.69,0.07,0.03,0.04,0.03,
5/31/2018,3:13:36 PM,3335.60,3725.92,0.06,0.02,0.04,0.02,
5/31/2018,3:13:37 PM,3173.64,3479.12,0.08,0.03,0.10,0.02,
5/31/2018,3:13:38 PM,3021.91,3381.74,0.08,0.02,0.13,0.02,
5/31/2018,3:13:39 PM,3422.89,3617.47,0.03,0.03,0.05,0.02,
5/31/2018,3:13:40 PM,3066.52,3496.90,0.11,0.02,0.09,0.02,
5/31/2018,3:13:41 PM,3396.65,3503.28,0.05,0.03,0.13,0.02,
5/31/2018,3:13:42 PM,3349.47,3322.81,0.06,0.04,0.17,0.01,
5/31/2018,3:13:43 PM,3663.33,3527.39,0.02,0.04,0.11,0.03,
5/31/2018,3:13:44 PM,3468.41,3806.56,0.04,0.03,0.05,0.03,
5/31/2018,3:13:45 PM,3522.37,3311.53,0.03,0.03,0.13,0.02,
5/31/2018,3:13:46 PM,3426.05,4010.61,0.05,0.04,0.03,0.02,
5/31/2018,3:13:47 PM,3478.25,3422.38,0.03,0.03,0.12,0.02,
5/31/2018,3:13:48 PM,3110.80,3844.40,0.05,0.02,0.04,0.03,
5/31/2018,3:13:49 PM,3050.53,3324.00,0.11,0.02,0.31,0.01,
5/31/2018,3:13:50 PM,3693.80,3171.22,0.03,0.05,0.14,0.02,
5/31/2018,3:13:51 PM,3587.69,3419.37,0.02,0.03,0.17,0.02,
5/31/2018,3:13:52 PM,3079.38,3383.92,0.08,0.02,0.08,0.02,
5/31/2018,3:13:53 PM,3084.85,3929.18,0.06,0.03,0.03,0.03,
5/31/2018,3:13:54 PM,3514.37,3600.66,0.04,0.05,0.07,0.03,
5/31/2018,3:13:55 PM,3547.31,3316.74,0.03,0.04,0.22,0.02,
5/31/2018,3:13:56 PM,3227.38,3331.78,0.06,0.03,0.07,0.02,
5/31/2018,3:13:57 PM,3452.90,3455.34,0.04,0.03,0.08,0.02,
5/31/2018,3:13:58 PM,3085.95,3629.53,0.04,0.03,0.08,0.03,
5/31/2018,3:13:59 PM,3191.20,3301.36,0.05,0.03,0.15,0.01,
5/31/2018,3:14:00 PM,3464.85,3903.90,0.04,0.04,0.03,0.04,
5/31/2018,3:14:01 PM,3000.65,3390.57,0.06,0.02,0.14,0.02,
5/31/2018,3:14:02 PM,3403.32,3616.03,0.04,0.03,0.06,0.02,
5/31/2018,3:14:03 PM,3253.17,3350.37,0.08,0.03,0.05,0.02,
5/31/2018,3:14:04 PM,3511.44,3264.58,0.03,0.04,0.10,0.01,
5/31/2018,3:14:05 PM,3268.34,3212.50,0.07,0.03,0.11,0.02,
5/31/2018,3:14:06 PM,3257.80,3514.65,0.07,0.03,0.15,0.02,
5/31/2018,3:14:07 PM,3313.57,3270.87,0.04,0.03,0.15,0.01,
5/31/2018,3:14:08 PM,3434.45,3248.90,0.06,0.03,0.09,0.02,
5/31/2018,3:14:09 PM,3094.07,3832.62,0.14,0.03,0.04,0.03,
5/31/2018,3:14:10 PM,2939.45,3704.73,0.28,0.02,0.04,0.02,
5/31/2018,3:14:11 PM,3492.33,3230.55,0.03,0.04,0.11,0.01,
5/31/2018,3:14:12 PM,3252.92,3514.93,0.05,0.02,0.13,0.02,
5/31/2018,3:14:13 PM,3370.91,3230.55,0.04,0.03,0.06,0.02,
5/31/2018,3:14:14 PM,3466.62,3257.48,0.03,0.03,0.07,0.02,
5/31/2018,3:14:15 PM,3334.18,3762.18,0.03,0.03,0.04,0.03,
5/31/2018,3:14:16 PM,3086.20,3348.99,0.09,0.02,0.11,0.02,
5/31/2018,3:14:17 PM,3252.73,3176.28,0.07,0.02,0.18,0.01,
5/31/2018,3:14:18 PM,3007.73,3776.39,0.05,0.03,0.04,0.02,
5/31/2018,3:14:19 PM,3102.24,3212.20,0.07,0.02,0.09,0.01,
5/31/2018,3:14:20 PM,3481.67,3298.91,0.03,0.03,0.13,0.02,
5/31/2018,3:14:21 PM,3237.64,3529.69,0.07,0.02,0.10,0.02,
5/31/2018,3:14:22 PM,3114.84,3824.03,0.06,0.02,0.04,0.03,
5/31/2018,3:14:23 PM,3285.19,3340.16,0.05,0.02,0.14,0.01,
5/31/2018,3:14:24 PM,3158.51,3409.56,0.12,0.02,0.31,0.01,
5/31/2018,3:14:25 PM,3852.42,3149.54,0.02,0.05,0.06,0.01,
5/31/2018,3:14:26 PM,3201.52,3629.60,0.08,0.02,0.05,0.03,
5/31/2018,3:14:27 PM,3445.25,3326.46,0.05,0.03,0.37,0.02,
5/31/2018,3:14:28 PM,3374.95,3183.69,0.04,0.03,0.06,0.02,
5/31/2018,3:14:29 PM,3625.29,3425.92,0.03,0.03,0.17,0.02,
5/31/2018,3:14:30 PM,3226.18,3592.79,0.04,0.03,0.06,0.02,
5/31/2018,3:14:31 PM,2962.23,3468.66,0.07,0.02,0.24,0.01,
5/31/2018,3:14:32 PM,3199.40,3600.95,0.06,0.03,0.10,0.03,
5/31/2018,3:14:33 PM,3528.38,3398.81,0.03,0.03,0.11,0.02,
5/31/2018,3:14:34 PM,3119.45,3353.51,0.08,0.02,0.08,0.02,
5/31/2018,3:14:35 PM,3507.62,3731.73,0.03,0.03,0.06,0.03,
5/31/2018,3:14:36 PM,3475.22,3456.33,0.04,0.02,0.14,0.02,
5/31/2018,3:14:37 PM,3168.35,3387.53,0.05,0.03,0.09,0.02,
5/31/2018,3:14:38 PM,3138.13,3865.38,0.07,0.02,0.04,0.02,
5/31/2018,3:14:39 PM,3106.39,3339.62,0.06,0.02,0.49,0.02,
5/31/2018,3:14:40 PM,3263.96,3374.77,0.05,0.02,0.09,0.02,
5/31/2018,3:14:41 PM,3679.06,3588.85,0.03,0.04,0.07,0.03,
5/31/2018,3:14:42 PM,3059.24,3181.66,0.06,0.02,0.05,0.02,
5/31/2018,3:14:43 PM,3076.07,3236.40,0.04,0.03,0.21,0.02,
5/31/2018,3:14:44 PM,3473.89,4144.95,0.05,0.02,0.02,0.04,
5/31/2018,3:14:45 PM,3334.42,3388.92,0.06,0.03,0.28,0.02,
5/31/2018,3:14:46 PM,3360.07,3340.87,0.06,0.03,0.36,0.02,
5/31/2018,3:14:47 PM,2892.07,3216.40,0.04,0.03,0.17,0.01,
5/31/2018,3:14:48 PM,3026.16,3317.07,0.06,0.02,0.11,0.02,
5/31/2018,3:14:49 PM,3232.55,3513.19,0.05,0.02,0.10,0.02,
5/31/2018,3:14:50 PM,3282.67,3974.05,0.04,0.02,0.03,0.03,
5/31/2018,3:14:51 PM,3402.31,3373.71,0.06,0.03,0.08,0.02,
5/31/2018,3:14:52 PM,3348.49,3434.99,0.06,0.03,0.05,0.03,
5/31/2018,3:14:53 PM,3491.69,3273.12,0.06,0.04,0.12,0.02,
5/31/2018,3:14:54 PM,3091.90,3560.39,0.09,0.02,0.11,0.02,
5/31/2018,3:14:55 PM,3182.49,3282.30,0.06,0.02,0.22,0.02,
5/31/2018,3:14:56 PM,3273.41,3233.31,0.07,0.03,0.15,0.02,
5/31/2018,3:14:57 PM,3359.98,3467.67,0.04,0.03,0.24,0.02,
5/31/2018,3:14:58 PM,3507.78,3228.85,0.04,0.04,0.09,0.01,
5/31/2018,3:14:59 PM,3372.44,3337.05,0.04,0.03,0.21,0.02,
5/31/2018,3:15:00 PM,3373.30,3561.10,0.04,0.03,0.06,0.02,
5/31/2018,3:15:01 PM,3243.05,3396.07,0.09,0.02,0.07,0.02,
5/31/2018,3:15:02 PM,3758.53,3408.96,0.02,0.06,0.15,0.03,
5/31/2018,3:15:03 PM,3379.75,3437.84,0.06,0.04,0.20,0.02,
