

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:06:33 PM,3116.98,3465.32,4940.41,5090.01,0.02,0.02,0.01,0.02,
5/31/2018,6:06:35 PM,3145.35,3467.93,4936.37,5086.78,0.01,0.02,0.02,0.02,
5/31/2018,6:06:36 PM,3251.94,3477.08,4943.63,5082.06,0.01,0.02,0.02,0.02,
5/31/2018,6:06:37 PM,3273.92,3531.24,4927.71,5101.64,0.01,0.02,0.01,0.02,
5/31/2018,6:06:38 PM,3313.32,3449.45,4933.92,5115.42,0.01,0.03,0.02,0.02,
5/31/2018,6:06:39 PM,3189.16,3538.84,4945.11,5105.08,0.01,0.02,0.01,0.02,
5/31/2018,6:06:40 PM,3321.76,3529.38,4954.03,5097.96,0.01,0.03,0.01,0.02,
5/31/2018,6:06:41 PM,3185.43,3598.28,4953.04,5079.72,0.01,0.02,0.01,0.02,
5/31/2018,6:06:42 PM,3259.24,3531.89,4956.09,5104.11,0.01,0.02,0.01,0.02,
5/31/2018,6:06:43 PM,3276.84,3381.15,4934.52,5118.69,0.01,0.02,0.04,0.02,
5/31/2018,6:06:44 PM,3237.02,3511.95,4943.66,5101.93,0.01,0.02,0.02,0.02,
5/31/2018,6:06:46 PM,3251.69,3440.66,4938.44,5124.05,0.01,0.02,0.02,0.02,
5/31/2018,6:06:47 PM,3178.51,3466.47,4941.26,5107.32,0.01,0.02,0.01,0.02,
5/31/2018,6:06:48 PM,3202.02,3531.67,4942.63,5093.60,0.01,0.02,0.01,0.02,
5/31/2018,6:06:49 PM,3187.66,3467.93,4942.51,5078.97,0.01,0.02,0.02,0.02,
5/31/2018,6:06:50 PM,3201.72,3503.06,4949.58,5091.35,0.01,0.02,0.01,0.02,
5/31/2018,6:06:51 PM,3233.49,3523.94,4953.43,5085.46,0.01,0.03,0.01,0.02,
5/31/2018,6:06:52 PM,3254.86,3427.13,4941.44,5120.13,0.01,0.02,0.02,0.01,
5/31/2018,6:06:53 PM,3215.71,3555.42,4939.34,5106.94,0.01,0.02,0.01,0.02,
5/31/2018,6:06:55 PM,3116.42,3525.67,4945.44,5100.88,0.01,0.02,0.01,0.02,
5/31/2018,6:06:56 PM,3197.88,3466.57,4951.73,5095.59,0.01,0.02,0.01,0.02,
5/31/2018,6:06:57 PM,3163.06,3416.36,4955.69,5090.29,0.01,0.02,0.04,0.02,
5/31/2018,6:06:58 PM,3349.53,3399.75,4949.20,5095.94,0.01,0.03,0.04,0.01,
5/31/2018,6:06:59 PM,3264.42,3629.89,4932.45,5104.85,0.01,0.02,0.01,0.02,
5/31/2018,6:07:00 PM,3243.98,3482.04,4945.49,5103.66,0.01,0.02,0.02,0.02,
5/31/2018,6:07:01 PM,3263.63,3431.11,4952.06,5114.25,0.01,0.02,0.03,0.01,
5/31/2018,6:07:02 PM,3272.81,3443.00,4955.23,5109.55,0.01,0.02,0.02,0.01,
5/31/2018,6:07:03 PM,3206.95,3460.70,4951.10,5097.44,0.01,0.02,0.02,0.01,
5/31/2018,6:07:05 PM,3335.07,3472.89,4964.01,5102.66,0.01,0.03,0.02,0.02,
5/31/2018,6:07:06 PM,3235.67,3532.73,4941.99,5109.81,0.01,0.02,0.01,0.02,
5/31/2018,6:07:07 PM,3114.60,3556.52,4949.96,5077.75,0.01,0.02,0.01,0.02,
5/31/2018,6:07:08 PM,3216.48,3495.71,4934.46,5081.70,0.01,0.02,0.01,0.02,
5/31/2018,6:07:09 PM,3307.18,3468.52,4931.63,5090.07,0.01,0.03,0.02,0.02,
5/31/2018,6:07:10 PM,3343.21,3590.31,4940.42,5103.79,0.01,0.02,0.01,0.02,
5/31/2018,6:07:11 PM,3302.87,3535.10,4935.33,5092.02,0.01,0.02,0.01,0.02,
5/31/2018,6:07:13 PM,3310.85,3466.82,4946.95,5091.92,0.01,0.02,0.02,0.01,
5/31/2018,6:07:14 PM,3237.40,3494.67,4929.46,5099.19,0.01,0.02,0.02,0.01,
5/31/2018,6:07:15 PM,3231.79,3486.87,4927.71,5098.49,0.01,0.02,0.02,0.02,
5/31/2018,6:07:16 PM,3250.87,3470.29,4924.86,5104.16,0.01,0.02,0.02,0.02,
