

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:00:23 PM,3143.03,3553.98,4913.09,5124.59,0.01,0.02,0.01,0.02,
5/31/2018,6:00:24 PM,3134.33,3535.77,4923.31,5123.49,0.01,0.02,0.01,0.02,
5/31/2018,6:00:25 PM,3289.27,3484.41,4928.97,5126.12,0.01,0.02,0.01,0.02,
5/31/2018,6:00:26 PM,3265.50,3399.13,4915.36,5143.73,0.01,0.02,0.05,0.02,
5/31/2018,6:00:27 PM,3243.75,3537.18,4936.56,5132.32,0.01,0.02,0.01,0.02,
5/31/2018,6:00:28 PM,3270.19,3511.58,4938.59,5101.43,0.01,0.02,0.01,0.02,
5/31/2018,6:00:29 PM,3253.91,3466.84,4944.50,5143.63,0.01,0.03,0.02,0.02,
5/31/2018,6:00:30 PM,3152.89,3537.59,4933.15,5129.54,0.01,0.02,0.01,0.02,
5/31/2018,6:00:32 PM,3280.87,3510.69,4935.08,5150.59,0.01,0.02,0.01,0.02,
5/31/2018,6:00:33 PM,3251.82,3516.18,4934.13,5125.58,0.01,0.02,0.01,0.02,
5/31/2018,6:00:34 PM,3324.73,3500.58,4927.79,5110.34,0.01,0.02,0.01,0.02,
5/31/2018,6:00:35 PM,3333.50,3453.61,4926.19,5133.12,0.01,0.02,0.02,0.02,
5/31/2018,6:00:36 PM,3131.33,3417.63,4924.16,5127.60,0.01,0.02,0.01,0.02,
5/31/2018,6:00:37 PM,3345.65,3478.81,4922.15,5121.02,0.01,0.03,0.02,0.02,
5/31/2018,6:00:38 PM,3170.89,3494.07,4943.92,5126.29,0.01,0.03,0.02,0.02,
5/31/2018,6:00:39 PM,3298.48,3362.71,4917.89,5145.00,0.01,0.02,0.12,0.01,
5/31/2018,6:00:40 PM,3281.30,3475.16,4916.12,5126.96,0.01,0.02,0.01,0.02,
5/31/2018,6:00:41 PM,3196.08,3539.34,4917.25,5123.19,0.01,0.02,0.01,0.02,
5/31/2018,6:00:42 PM,3295.45,3451.78,4933.46,5124.57,0.01,0.02,0.02,0.02,
5/31/2018,6:00:43 PM,3283.11,3458.96,4917.79,5118.04,0.01,0.02,0.02,0.02,
5/31/2018,6:00:44 PM,3165.69,3443.14,4921.59,5117.83,0.02,0.02,0.02,0.01,
5/31/2018,6:00:45 PM,3238.90,3446.68,4916.88,5142.11,0.01,0.02,0.02,0.01,
5/31/2018,6:00:46 PM,3274.23,3459.77,4930.55,5127.60,0.01,0.03,0.02,0.02,
5/31/2018,6:00:48 PM,3217.03,3501.81,4925.24,5135.32,0.01,0.02,0.01,0.02,
5/31/2018,6:00:49 PM,3247.34,3441.95,4926.38,5149.59,0.01,0.02,0.02,0.02,
5/31/2018,6:00:50 PM,3189.37,3545.91,4920.77,5149.77,0.01,0.02,0.01,0.02,
5/31/2018,6:00:51 PM,3199.26,3535.34,4923.43,5142.89,0.01,0.02,0.01,0.02,
5/31/2018,6:00:52 PM,3244.23,3459.48,4932.34,5109.39,0.01,0.02,0.02,0.02,
5/31/2018,6:00:53 PM,3157.48,3500.35,4919.35,5116.08,0.01,0.02,0.01,0.02,
