

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,5:22:59 PM,3274.28,3601.94,4855.00,5358.59,0.01,0.02,0.01,0.03,
5/31/2018,5:23:00 PM,3333.93,3496.23,4871.79,5358.75,0.01,0.03,0.02,0.02,
5/31/2018,5:23:01 PM,3368.67,3494.32,4874.62,5335.65,0.01,0.03,0.02,0.02,
5/31/2018,5:23:02 PM,3349.00,3448.06,4872.10,5341.97,0.01,0.02,0.02,0.02,
5/31/2018,5:23:03 PM,3223.57,3539.18,4888.90,5341.91,0.01,0.03,0.01,0.03,
5/31/2018,5:23:04 PM,3284.80,3506.47,4869.25,5368.78,0.01,0.02,0.02,0.02,
5/31/2018,5:23:05 PM,3278.88,3527.79,4872.43,5358.42,0.01,0.02,0.01,0.02,
5/31/2018,5:23:06 PM,3265.61,3548.98,4874.44,5348.69,0.01,0.02,0.01,0.02,
5/31/2018,5:23:08 PM,3230.56,3529.39,4876.12,5340.05,0.01,0.02,0.01,0.02,
5/31/2018,5:23:09 PM,3271.75,3585.58,4869.69,5341.41,0.01,0.03,0.01,0.03,
5/31/2018,5:23:10 PM,3215.00,3405.60,4849.28,5385.20,0.01,0.03,0.03,0.02,
5/31/2018,5:23:11 PM,3347.31,3571.37,4865.24,5339.48,0.01,0.03,0.01,0.03,
5/31/2018,5:23:12 PM,3179.48,3619.29,4859.22,5349.64,0.01,0.02,0.01,0.03,
5/31/2018,5:23:13 PM,3301.72,3422.86,4866.73,5347.74,0.01,0.03,0.03,0.02,
5/31/2018,5:23:14 PM,3372.28,3478.56,4877.59,5355.92,0.01,0.03,0.02,0.02,
5/31/2018,5:23:15 PM,3261.20,3512.29,4868.20,5371.68,0.01,0.02,0.02,0.02,
5/31/2018,5:23:16 PM,3245.91,3431.82,4845.94,5377.73,0.01,0.02,0.04,0.02,
5/31/2018,5:23:17 PM,3376.53,3515.88,4874.06,5362.68,0.01,0.03,0.01,0.02,
5/31/2018,5:23:18 PM,3204.64,3516.70,4871.73,5344.33,0.01,0.02,0.02,0.02,
5/31/2018,5:23:19 PM,3309.31,3578.83,4867.02,5341.63,0.01,0.03,0.01,0.03,
5/31/2018,5:23:20 PM,3327.81,3563.80,4872.12,5339.25,0.01,0.03,0.01,0.03,
5/31/2018,5:23:22 PM,3321.74,3456.76,4854.26,5358.00,0.01,0.02,0.03,0.02,
5/31/2018,5:23:23 PM,3248.65,3471.87,4850.64,5352.17,0.01,0.03,0.02,0.02,
5/31/2018,5:23:24 PM,3284.14,3529.98,4858.54,5321.83,0.01,0.02,0.02,0.02,
5/31/2018,5:23:25 PM,3358.29,3560.86,4860.26,5330.15,0.01,0.03,0.01,0.02,
5/31/2018,5:23:26 PM,3265.45,3577.07,4859.59,5346.28,0.01,0.03,0.01,0.02,
5/31/2018,5:23:27 PM,3225.96,3598.55,4876.47,5362.97,0.01,0.03,0.01,0.03,
5/31/2018,5:23:28 PM,3326.09,3556.76,4864.25,5373.30,0.01,0.03,0.01,0.02,
5/31/2018,5:23:29 PM,3299.13,3522.16,4884.69,5366.30,0.01,0.03,0.02,0.02,
5/31/2018,5:23:31 PM,3312.27,3464.05,4880.90,5360.74,0.01,0.02,0.02,0.02,
5/31/2018,5:23:32 PM,3250.56,3526.86,4882.43,5336.17,0.01,0.02,0.02,0.02,
5/31/2018,5:23:33 PM,3238.83,3469.80,4880.28,5348.43,0.01,0.03,0.02,0.02,
5/31/2018,5:23:34 PM,3388.57,3456.97,4884.43,5335.10,0.01,0.03,0.02,0.02,
5/31/2018,5:23:35 PM,3302.89,3548.29,4880.73,5333.32,0.01,0.02,0.01,0.02,
5/31/2018,5:23:36 PM,3206.03,3476.93,4876.81,5355.31,0.01,0.02,0.02,0.02,
5/31/2018,5:23:37 PM,3268.31,3560.93,4880.30,5359.64,0.01,0.02,0.01,0.03,
5/31/2018,5:23:38 PM,3377.13,3582.28,4882.63,5360.45,0.01,0.03,0.01,0.03,
5/31/2018,5:23:39 PM,3141.38,3473.50,4890.89,5353.16,0.02,0.02,0.02,0.02,
5/31/2018,5:23:40 PM,3264.97,3545.10,4871.28,5355.88,0.01,0.02,0.01,0.03,
5/31/2018,5:23:42 PM,3339.63,3544.37,4864.48,5384.83,0.01,0.03,0.01,0.03,
5/31/2018,5:23:43 PM,3274.22,3429.81,4876.30,5383.17,0.01,0.02,0.03,0.02,
5/31/2018,5:23:44 PM,3313.00,3475.11,4863.33,5370.61,0.01,0.03,0.03,0.02,
5/31/2018,5:23:45 PM,3340.21,3484.86,4881.73,5334.01,0.01,0.03,0.02,0.02,
5/31/2018,5:23:46 PM,3304.06,3454.66,4865.81,5308.75,0.01,0.03,0.02,0.02,
5/31/2018,5:23:47 PM,3308.54,3572.00,4859.53,5328.20,0.01,0.03,0.01,0.02,
5/31/2018,5:23:48 PM,3379.99,3458.38,4869.81,5332.85,0.01,0.03,0.02,0.02,
5/31/2018,5:23:49 PM,3281.22,3475.57,4848.27,5349.62,0.01,0.03,0.02,0.02,
5/31/2018,5:23:51 PM,3328.17,3492.27,4844.95,5361.42,0.01,0.03,0.02,0.02,
5/31/2018,5:23:52 PM,3208.44,3510.20,4863.39,5361.32,0.01,0.02,0.02,0.02,
5/31/2018,5:23:53 PM,3268.35,3507.63,4855.33,5341.66,0.01,0.03,0.02,0.02,
5/31/2018,5:23:54 PM,3300.37,3531.76,4866.84,5357.10,0.01,0.03,0.02,0.02,
5/31/2018,5:23:55 PM,3312.78,3468.49,4865.76,5341.26,0.01,0.02,0.02,0.02,
5/31/2018,5:23:56 PM,3233.51,3438.40,4861.45,5364.87,0.01,0.03,0.03,0.02,
5/31/2018,5:23:57 PM,3325.14,3433.07,4872.70,5361.11,0.01,0.03,0.03,0.02,
5/31/2018,5:23:58 PM,3255.41,3499.31,4873.22,5344.25,0.01,0.02,0.02,0.02,
5/31/2018,5:24:00 PM,3349.64,3448.76,4862.73,5346.11,0.01,0.02,0.03,0.02,
5/31/2018,5:24:01 PM,3374.27,3438.04,4883.78,5339.59,0.01,0.03,0.05,0.02,
5/31/2018,5:24:02 PM,3266.54,3577.35,4859.80,5342.88,0.01,0.02,0.01,0.02,
5/31/2018,5:24:03 PM,3283.78,3487.55,4856.63,5344.77,0.01,0.02,0.02,0.02,
5/31/2018,5:24:04 PM,3319.36,3524.05,4880.28,5335.92,0.01,0.03,0.02,0.02,
5/31/2018,5:24:05 PM,3339.16,3525.70,4878.10,5334.03,0.01,0.03,0.02,0.02,
5/31/2018,5:24:06 PM,3302.99,3479.23,4885.87,5344.10,0.01,0.02,0.02,0.02,
5/31/2018,5:24:07 PM,3310.01,3529.94,4859.79,5369.34,0.01,0.02,0.01,0.03,
5/31/2018,5:24:08 PM,3250.02,3588.72,4866.46,5355.57,0.01,0.02,0.01,0.03,
5/31/2018,5:24:09 PM,3285.69,3532.96,4875.53,5322.85,0.01,0.03,0.02,0.02,
5/31/2018,5:24:10 PM,3314.31,3479.74,4861.30,5318.77,0.01,0.02,0.02,0.02,
5/31/2018,5:24:12 PM,3128.85,3479.43,4879.59,5312.77,0.01,0.02,0.03,0.02,
5/31/2018,5:24:13 PM,3298.46,3551.25,4885.17,5337.11,0.01,0.03,0.01,0.02,
5/31/2018,5:24:14 PM,3251.93,3504.55,4862.70,5349.96,0.01,0.02,0.02,0.02,
5/31/2018,5:24:15 PM,3355.21,3524.53,4871.13,5343.34,0.01,0.03,0.01,0.02,
5/31/2018,5:24:16 PM,3270.88,3520.97,4869.30,5380.23,0.01,0.03,0.03,0.02,
5/31/2018,5:24:17 PM,3235.68,3491.53,4859.33,5355.94,0.01,0.02,0.02,0.02,
